TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GAME_ID,GP,W,L,MIN,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,DATE,IS_REGULAR_SEASON,GAME_ID,TEAM_ABBREVIATION,DK_POINTS
1610612763,Memphis Grizzlies,MEM,0021500011,1,0,1,240.0,10.0,2.0,6.0,0.333,3.0,4.0,0.75,7.0,0.7,1.0,0.1,0.0,0.0,0.0,0.0,3.0,0.3,2015-10-28,1,0021500011,MEM,159.75
1610612763,Memphis Grizzlies,MEM,0021500018,1,1,0,240.0,21.0,4.0,9.0,0.444,2.0,2.0,1.0,10.0,0.476,9.0,0.429,1.0,0.048,0.0,0.0,1.0,0.048,2015-10-29,1,0021500018,MEM,227.5
1610612763,Memphis Grizzlies,MEM,0021500036,1,1,0,240.0,22.0,4.0,11.0,0.364,4.0,4.0,1.0,12.0,0.545,6.0,0.273,0.0,0.0,1.0,0.045,3.0,0.136,2015-10-31,1,0021500036,MEM,202.0
1610612763,Memphis Grizzlies,MEM,0021500051,1,0,1,240.0,22.0,7.0,15.0,0.467,1.0,1.0,1.0,15.0,0.682,4.0,0.182,0.0,0.0,1.0,0.045,2.0,0.091,2015-11-02,1,0021500051,MEM,176.25
1610612763,Memphis Grizzlies,MEM,0021500058,1,1,0,240.0,20.0,8.0,11.0,0.727,7.0,9.0,0.778,23.0,1.15,2.0,0.1,0.0,0.0,3.0,0.15,5.0,0.25,2015-11-03,1,0021500058,MEM,211.75
1610612763,Memphis Grizzlies,MEM,0021500074,1,0,1,240.0,15.0,4.0,8.0,0.5,3.0,3.0,1.0,11.0,0.733,3.0,0.2,0.0,0.0,2.0,0.133,2.0,0.133,2015-11-05,1,0021500074,MEM,183.5
1610612763,Memphis Grizzlies,MEM,0021500091,1,0,1,240.0,21.0,7.0,11.0,0.636,1.0,2.0,0.5,15.0,0.714,7.0,0.333,2.0,0.095,1.0,0.048,1.0,0.048,2015-11-07,1,0021500091,MEM,168.0
1610612763,Memphis Grizzlies,MEM,0021500105,1,0,1,240.0,26.0,5.0,10.0,0.5,5.0,8.0,0.625,15.0,0.577,9.0,0.346,2.0,0.077,1.0,0.038,4.0,0.154,2015-11-09,1,0021500105,MEM,190.25
1610612763,Memphis Grizzlies,MEM,0021500120,1,0,1,240.0,24.0,3.0,10.0,0.3,4.0,4.0,1.0,10.0,0.417,8.0,0.333,0.0,0.0,3.0,0.125,3.0,0.125,2015-11-11,1,0021500120,MEM,183.0
1610612763,Memphis Grizzlies,MEM,0021500133,1,1,0,240.0,18.0,7.0,12.0,0.583,4.0,4.0,1.0,18.0,1.0,4.0,0.222,0.0,0.0,0.0,0.0,2.0,0.111,2015-11-13,1,0021500133,MEM,191.25
1610612763,Memphis Grizzlies,MEM,0021500146,1,1,0,240.0,12.0,4.0,6.0,0.667,0.0,0.0,0.0,8.0,0.667,4.0,0.333,1.0,0.083,0.0,0.0,1.0,0.083,2015-11-15,1,0021500146,MEM,205.75
1610612763,Memphis Grizzlies,MEM,0021500155,1,1,0,240.0,11.0,4.0,8.0,0.5,0.0,0.0,0.0,8.0,0.727,2.0,0.182,0.0,0.0,0.0,0.0,1.0,0.091,2015-11-16,1,0021500155,MEM,224.25
1610612763,Memphis Grizzlies,MEM,0021500180,1,1,0,240.0,15.0,5.0,9.0,0.556,1.0,2.0,0.5,11.0,0.733,2.0,0.133,1.0,0.067,3.0,0.2,2.0,0.133,2015-11-20,1,0021500180,MEM,225.75
