"PLAYER_NAME","START_POSITION","MIN","FGA","FG_PCT","FG3A","OREB","REB","AST","STL","PTS","TO","PF","DK_POINTS","PTS_PAINT","PFD","DRIVES","DRIVE_FGA","DRIVE_FG_PCT","DRIVE_PTS","TOUCHES","CONTESTED_FGA","CONTESTED_FG_PCT","PACE","PNR_POSSG","ISO_POSSG","SPOT_POSSG","OFF_SCREEN_POSSG","CATCH_SHOOT_FGA","CATCH_SHOOT_FG_PCT","CATCH_SHOOT_3FGA","PASSES_MADE","PASSES_RECEIVED","TIME_OF_POSS","POST_TOUCH_FGA","PULL_UP_FGA","PULL_UP_3FGA","NATIONAL_TV"
"Marco Belinelli","","20:43",6,0.5,1,0,2,3,0,11,3,3,15.75,0,3,0,0,0,0,25,2,0.5,98.3,1.50,NULL,2.29,3.79,3,0.667,1,15,21,1.1,0,3,0,NULL
"Courtney Lee","G","26:44",10,0.2,3,1,5,2,0,6,0,2,15.25,0,0,2,2,0,0,36,7,0.286,96.78,1.51,0.39,2.88,1.76,3,0.333,3,24,28,1.4,0,5,0,"NBA TV"
"Monta Ellis","G","30:42",11,0.182,2,0,1,4,1,6,3,4,14.75,2,1,6,3,0,2,55,7,0.286,95.87,6.24,1.19,2.39,0.91,2,0,1,37,46,3.3,1,5,1,NULL
"Jordan Clarkson","G","24:41",13,0.385,1,3,4,1,0,10,3,2,14.75,6,1,7,5,0.2,2,48,11,0.455,95.09,6.12,1.66,2.23,0.97,0,0,0,31,38,3.8,0,5,1,NULL
"Marco Belinelli","","20:26",7,0.429,5,0,1,2,0,10,0,2,14.75,0,1,0,0,0,0,28,3,0.333,92.46,1.50,NULL,2.29,3.79,5,0.6,3,19,26,0.8,0,2,2,"NBA TV"
"Zach LaVine","G","40:15",9,0.111,5,1,2,6,1,3,3,3,14.00,0,0,2,2,0,0,65,4,0.25,88.56,4.28,1.19,2.01,1.05,4,0.25,4,52,52,4.3,0,2,0,NULL
"E'Twaun Moore","F","27:10",12,0.333,3,0,2,0,0,8,1,2,14.00,4,1,2,2,0.5,2,23,6,0.167,98.8,1.92,0.25,2.14,NULL,3,0,3,9,20,1.2,0,5,0,NULL
"Kyle Korver","G","25:49",7,0.429,5,0,4,0,0,8,1,1,13.50,0,2,0,0,0,0,25,5,0.2,95.92,0.62,NULL,2.17,2.86,3,0.333,2,19,17,0.5,0,3,2,NULL
"Wayne Ellington","G","29:50",11,0.364,4,0,1,1,0,11,1,0,13.50,6,1,2,1,1,2,38,5,0.6,87.91,1.46,0.20,2.64,1.23,5,0.2,4,24,33,1.6,2,2,0,NULL
"Garrett Temple","G","29:17",7,0.143,3,0,1,1,4,4,4,4,13.00,0,2,1,1,0,0,34,3,0,101.97,0.75,0.17,2.62,0.63,3,0,2,20,23,0.9,1,2,1,NULL
