Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1741841291,tomjk321 (109/150),0,328.5,F P.J. Tucker G Lou Williams SG Alec Burks C Rudy Gobert UTIL Nikola Jokic SF Jaylen Brown PF Marquese Chriss PG Ky Bowman,,Paul George,F,56.69%,43.5
2,1741490034,CZYX (94/150),0,327.5,F Paul Millsap SF Paul George G Alec Burks SG Glenn Robinson III UTIL Clint Capela C Nikola Jokic PG Ky Bowman PF Omari Spellman,,Russell Westbrook,G,38.32%,38.75
2,1742479279,l800Eddie (66/150),0,327.5,PF Paul Millsap SF Paul George SG Alec Burks G Glenn Robinson III UTIL Clint Capela C Nikola Jokic PG Ky Bowman F Omari Spellman,,Alec Burks,UTIL,37.98%,40.5
4,1741688448,MilkMonet,0,327.25,PF P.J. Tucker SG Alec Burks SF Ben McLemore UTIL Clint Capela C Nikola Jokic PG Donovan Mitchell F Jaylen Brown G Ky Bowman,,Lou Williams,SG,31.31%,41.75
4,1741812474,TheOctopus (1/100),0,327.25,SG Lou Williams F Paul George G Alec Burks SF Ben McLemore UTIL Clint Capela C Nikola Jokic PG Ky Bowman PF Omari Spellman,,James Harden,PG,31.08%,71
4,1742056991,moklovin (7/150),0,327.25,G Lou Williams F Paul George SG Alec Burks SF Ben McLemore UTIL Clint Capela C Nikola Jokic PG Ky Bowman PF Omari Spellman,,P.J. Tucker,UTIL,29.86%,22.5
7,1741795285,dianeb33,0,327,PG Mike Conley SF Paul George SG Alec Burks F Ben McLemore UTIL Clint Capela C Nikola Jokic G Ky Bowman PF Omari Spellman,,Clint Capela,UTIL,28.88%,44.75
7,1742479252,l800Eddie (39/150),0,327,PG Mike Conley SF Paul George SG Alec Burks F Ben McLemore UTIL Clint Capela C Nikola Jokic G Ky Bowman PF Omari Spellman,,Donovan Mitchell,SG,27.13%,44.5
9,1742057133,moklovin (149/150),0,325.75,F Paul Millsap SG Lou Williams G Mike Conley PG Alec Burks SF Glenn Robinson III UTIL Clint Capela C Nikola Jokic PF Omari Spellman,,Ben McLemore,G,25.76%,24
10,1741841215,tomjk321 (33/150),0,325.5,SG Alec Burks F Ben McLemore C Nikola Jokic UTIL Donovan Mitchell SF Jaylen Brown PF Marquese Chriss G Jamal Murray PG Ky Bowman,,Daniel Theis,PF,25.03%,16.25
11,1742636760,giantsquid (67/150),0,324.5,SG Alec Burks F Ben McLemore PF Montrezl Harrell SF Glenn Robinson III UTIL Clint Capela C Nikola Jokic G Donovan Mitchell PG Ky Bowman,,Marquese Chriss,UTIL,24.16%,25
12,1741841216,tomjk321 (34/150),0,324,PF Paul Millsap F Paul George G Alec Burks SF Ben McLemore SG Glenn Robinson III C Nikola Jokic UTIL Donovan Mitchell PG Ky Bowman,,Montrezl Harrell,F,22.44%,33.25
12,1742636776,giantsquid (83/150),0,324,PF Paul Millsap SF Paul George SG Alec Burks UTIL Ben McLemore F Glenn Robinson III C Nikola Jokic G Donovan Mitchell PG Ky Bowman,,Glenn Robinson III,SG,21.58%,32
14,1742619791,ericmcq3121,0,323.5,SF Jeff Green SG Lou Williams PF Paul George G Alec Burks UTIL Rudy Gobert C Nikola Jokic PG Ky Bowman F Omari Spellman,,Rudy Gobert,C,21.31%,47.75
15,1742684498,One_Eyed_Guy,0,322.5,PF P.J. Tucker G Lou Williams SF Paul George SG Alec Burks F Ben McLemore UTIL Clint Capela C Nikola Jokic PG Ky Bowman,,Paul Millsap,C,20.92%,34
16,1742479218,l800Eddie (5/150),0,322,PF P.J. Tucker PG Mike Conley SF Paul George G Alec Burks F Ben McLemore C Nikola Jokic SG Donovan Mitchell UTIL Ky Bowman,,Bojan Bogdanovic,PF,18.87%,29.25
17,1742679078,Graldo04 (1/2),0,321,F Paul Millsap SF Paul George PG Alec Burks UTIL Glenn Robinson III C Nikola Jokic PF Marquese Chriss SG Jamal Murray G Ky Bowman,,Omari Spellman,F,18.17%,27.25
18,1742636740,giantsquid (47/150),0,320.75,PF P.J. Tucker G Mike Conley UTIL James Harden SG Alec Burks F Ben McLemore SF Glenn Robinson III C Rudy Gobert PG Ky Bowman,,Nikola Jokic,UTIL,18.03%,64
19,1742714028,hishboo (88/150),0,320.25,F P.J. Tucker G Lou Williams PG Mike Conley SG Alec Burks PF Montrezl Harrell SF Glenn Robinson III UTIL Clint Capela C Nikola Jokic,,Willie Cauley-Stein,C,17.82%,15.5
20,1741622727,youdacao (13/33),0,319.75,G Lou Williams PG Alec Burks SF Glenn Robinson III UTIL Clint Capela C Nikola Jokic SG Donovan Mitchell F Marquese Chriss PF Omari Spellman,,Kawhi Leonard,F,16.58%,42
20,1742725425,colinbennett20 (85/150),0,319.75,SG Lou Williams PG Alec Burks SF Glenn Robinson III UTIL Clint Capela C Nikola Jokic G Donovan Mitchell PF Marquese Chriss F Omari Spellman,,Joe Ingles,F,16.18%,12.75
22,1742057092,moklovin (108/150),0,319.5,PF Paul Millsap G Russell Westbrook SG Alec Burks F Ben McLemore SF Glenn Robinson III UTIL Clint Capela C Nikola Jokic PG Ky Bowman,,Ky Bowman,PG,16.03%,41.5
22,1742479286,l800Eddie (73/150),0,319.5,G Lou Williams SF Paul George F Ben McLemore SG Glenn Robinson III UTIL Rudy Gobert C Nikola Jokic PF Marquese Chriss PG Ky Bowman,,Jayson Tatum,F,16.02%,25
24,1741642438,JBCJBCJBC (25/150),0,319.25,G Mike Conley PF JaMychal Green F Paul George SG Alec Burks SF Ben McLemore C Nikola Jokic UTIL Donovan Mitchell PG Ky Bowman,,Patrick Beverley,SG,15.29%,11.75
25,1742265000,NILKNARF (119/150),0,319,G Lou Williams SF Bojan Bogdanovic UTIL Clint Capela C Nikola Jokic SG Jaylen Brown F Marquese Chriss PG Ky Bowman PF Omari Spellman,,Will Barton,PG,15.16%,24.25
25,1742589655,alf3897 (2/2),0,319,SF P.J. Tucker G Mike Conley F Paul George PG Alec Burks SG Glenn Robinson III C Rudy Gobert UTIL Nikola Jokic PF Omari Spellman,,Emmanuel Mudiay,PG,13.32%,14
27,1741841312,tomjk321 (130/150),0,318.75,PF Paul George SG Alec Burks UTIL Austin Rivers F Ben McLemore C Nikola Jokic G Donovan Mitchell SF Jaylen Brown PG Ky Bowman,,Mike Conley,G,13.24%,41.5
27,1742712679,kawhisenberg,0,318.75,SF Paul George SG Alec Burks UTIL Clint Capela C Nikola Jokic G Emmanuel Mudiay F Jaylen Brown PF Marquese Chriss PG Ky Bowman,,Ivica Zubac,UTIL,12.82%,16.75
29,1742479239,l800Eddie (26/150),0,318.5,PF Paul Millsap F Paul George SG Alec Burks G Austin Rivers SF Glenn Robinson III UTIL Rudy Gobert C Nikola Jokic PG Ky Bowman,,Kemba Walker,G,12.59%,9.75
30,1742636723,giantsquid (30/150),0,318,G James Harden SG Alec Burks UTIL Austin Rivers F Ben McLemore SF Glenn Robinson III C Nikola Jokic PF Eric Paschall PG Ky Bowman,,Gary Harris,SG,12.43%,17
31,1742479318,l800Eddie (105/150),0,317.75,F P.J. Tucker PG Mike Conley SF Paul George SG Glenn Robinson III UTIL Rudy Gobert C Nikola Jokic PF Marquese Chriss G Ky Bowman,,Eric Paschall,SF,11.88%,29.75
31,1742713945,hishboo (5/150),0,317.75,SF P.J. Tucker G Mike Conley F Paul George SG Glenn Robinson III UTIL Rudy Gobert C Nikola Jokic PF Marquese Chriss PG Ky Bowman,,Marcus Smart,SG,11.88%,29.5
33,1741812533,TheOctopus (60/100),0,317.5,SG Lou Williams PG Mike Conley G Alec Burks PF Bojan Bogdanovic F Ben McLemore SF Glenn Robinson III C Nikola Jokic UTIL Donovan Mitchell,,Brad Wanamaker,G,10.65%,22
33,1742620227,g1980,0,317.5,SF P.J. Tucker PF Paul George SG Alec Burks G Austin Rivers UTIL Clint Capela C Nikola Jokic F Jaylen Brown PG Ky Bowman,,Austin Rivers,SG,10.44%,15.25
35,1742057044,moklovin (60/150),0,317,SF P.J. Tucker F Paul George SG Alec Burks G Ben McLemore PF Montrezl Harrell C Rudy Gobert UTIL Nikola Jokic PG Ky Bowman,,Jaylen Brown,SG,10.33%,45.5
35,1742479217,l800Eddie (4/150),0,317,F P.J. Tucker SF Paul George SG Alec Burks G Ben McLemore PF Montrezl Harrell UTIL Rudy Gobert C Nikola Jokic PG Ky Bowman,,Jordan Poole,SG,9.55%,15.75
35,1742479229,l800Eddie (16/150),0,317,UTIL P.J. Tucker SF Paul George G Alec Burks F Montrezl Harrell C Nikola Jokic SG Donovan Mitchell PG Ky Bowman PF Omari Spellman,,Jamal Murray,G,8.38%,40.5
35,1742479248,l800Eddie (35/150),0,317,UTIL Lou Williams PF Paul George G Alec Burks SF Royce O'Neale F Ben McLemore C Nikola Jokic SG Donovan Mitchell PG Ky Bowman,,Royce O'Neale,SF,7.94%,17.25
39,1741629572,maxpower7023 (2/2),0,316.75,PG Russell Westbrook SG Alec Burks SF Glenn Robinson III UTIL Rudy Gobert C Nikola Jokic PF Marquese Chriss G Ky Bowman F Omari Spellman,,Jeff Green,SF,6.84%,17.25
39,1741802761,bric75 (103/150),0,316.75,G Lou Williams UTIL Russell Westbrook SG Alec Burks F Montrezl Harrell SF Glenn Robinson III C Nikola Jokic PF Marquese Chriss PG Ky Bowman,,Mason Plumlee,PF,5.96%,8
39,1741841205,tomjk321 (23/150),0,316.75,SG Alec Burks PF Montrezl Harrell SF Glenn Robinson III C Willie Cauley-Stein UTIL Nikola Jokic G Donovan Mitchell F Jaylen Brown PG Ky Bowman,,Moe Harkless,SF,3.83%,13.5
42,1742265006,NILKNARF (125/150),0,316.5,PG Alec Burks SF Bojan Bogdanovic F Montrezl Harrell SG Glenn Robinson III UTIL Clint Capela C Nikola Jokic G Jaylen Brown PF Omari Spellman,,JaMychal Green,SF,3.74%,19.75
42,1742479355,l800Eddie (142/150),0,316.5,PF Paul Millsap F Paul George G Alec Burks SF Glenn Robinson III UTIL Willie Cauley-Stein C Nikola Jokic SG Jaylen Brown PG Ky Bowman,,Enes Kanter,C,3.22%,17.25
42,1742636699,giantsquid (6/150),0,316.5,F P.J. Tucker G James Harden SG Alec Burks UTIL Austin Rivers SF Glenn Robinson III C Nikola Jokic PF Eric Paschall PG Ky Bowman,,Monte Morris,PG,3.09%,5.5
45,1741841187,tomjk321 (5/150),0,316.25,G Lou Williams PF Paul George SG Alec Burks F Ben McLemore C Willie Cauley-Stein UTIL Nikola Jokic SF Jaylen Brown PG Ky Bowman,,Jerami Grant,F,2.97%,10.5
45,1742479263,l800Eddie (50/150),0,316.25,PG Mike Conley SF Paul George SG Alec Burks F Ben McLemore PF Moe Harkless UTIL Rudy Gobert C Nikola Jokic G Ky Bowman,,Juancho Hernangómez,SF,2.50%,1.5
45,1742714002,hishboo (62/150),0,316.25,UTIL Lou Williams G James Harden F Ben McLemore SF Glenn Robinson III SG Gary Harris C Nikola Jokic PF Marquese Chriss PG Ky Bowman,,Robert Williams,PF,1.43%,14.5
48,1742264942,NILKNARF (61/150),0,315.75,UTIL Lou Williams F Paul George SG Alec Burks SF Glenn Robinson III C Clint Capela G Donovan Mitchell PG Ky Bowman PF Omari Spellman,,Torrey Craig,SF,1.07%,0
48,1742479223,l800Eddie (10/150),0,315.75,G Lou Williams PF Paul George SG Alec Burks F Ben McLemore SF Glenn Robinson III C Rudy Gobert UTIL Clint Capela PG Ky Bowman,,Grant Williams,F,0.64%,4.25
48,1742581532,wtread5 (43/150),0,315.75,F P.J. Tucker SG Lou Williams G James Harden PG Alec Burks SF Glenn Robinson III C Nikola Jokic UTIL Ivica Zubac PF Omari Spellman,,Danté Exum,PG,0.43%,3.5
48,1742636743,giantsquid (50/150),0,315.75,SF Paul George SG Alec Burks F Ben McLemore G Glenn Robinson III C Nikola Jokic PF Eric Paschall UTIL Jamal Murray PG Ky Bowman,,Patrick Patterson,PF,0.41%,0
52,1741812497,TheOctopus (24/100),0,315.5,PF Jeff Green SG James Harden G Alec Burks F Ben McLemore SF Glenn Robinson III C Clint Capela UTIL Donovan Mitchell PG Ky Bowman,,Thabo Sefolosha,UTIL,0.39%,12.25
52,1741812498,TheOctopus (25/100),0,315.5,PG Mike Conley SG James Harden UTIL Alec Burks SF Ben McLemore PF Montrezl Harrell C Nikola Jokic G Emmanuel Mudiay F Omari Spellman,,Tony Bradley,C,0.34%,6.25
52,1742057071,moklovin (87/150),0,315.5,G Mike Conley PF Paul George SG Alec Burks F Ben McLemore SF Glenn Robinson III C Rudy Gobert UTIL Clint Capela PG Ky Bowman,,Tyson Chandler,C,0.31%,4.25
52,1742725400,colinbennett20 (60/150),0,315.5,PG Lou Williams SF Paul George SG Alec Burks F Ben McLemore G Glenn Robinson III UTIL Clint Capela C Nikola Jokic PF Marquese Chriss,,Rodney McGruder,G,0.26%,8.75
52,1742734020,kittymanportrait (3/3),0,315.5,PG Lou Williams SF Paul George SG Alec Burks F Ben McLemore G Glenn Robinson III UTIL Clint Capela C Nikola Jokic PF Marquese Chriss,,Malik Beasley,UTIL,0.22%,0
57,1741841323,tomjk321 (141/150),0,315.25,G Mike Conley PF Paul George SG Alec Burks F Ben McLemore C Nikola Jokic UTIL Donovan Mitchell PG Ky Bowman SF Jordan Poole,,Carsen Edwards,G,0.22%,4.75
57,1742631144,hobiefootball (52/150),0,315.25,PF Paul Millsap G Mike Conley SG Alec Burks F Montrezl Harrell SF Glenn Robinson III C Rudy Gobert UTIL Clint Capela PG Ky Bowman,,Terance Mann,UTIL,0.21%,0
