Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1805945261,devosee,0,332,SF Brandon Ingram G D'Angelo Russell PG De'Aaron Fox PF Carmelo Anthony UTIL Draymond Green F Richaun Holmes SG Alec Burks C Gorgui Dieng,,Gorgui Dieng,UTIL,55.21%,30.5
2,1804405345,Dodgersbaseball,0,330,PF Brandon Ingram C Hassan Whiteside G D'Angelo Russell PG De'Aaron Fox SG Alec Burks F Derrick Favors UTIL Gorgui Dieng SF Damion Lee,,Damion Lee,SF,50.17%,29.25
2,1805912027,blpaige,0,330,SF Brandon Ingram C Hassan Whiteside SG D'Angelo Russell PG De'Aaron Fox PF Richaun Holmes G Alec Burks UTIL Gorgui Dieng F Damion Lee,,Hassan Whiteside,C,48.33%,44
4,1804299902,panicsucks (1/2),0,329.75,G Russell Westbrook C Hassan Whiteside SG CJ McCollum PG De'Aaron Fox F Richaun Holmes UTIL Alec Burks PF Derrick Favors SF Damion Lee,,Damian Lillard,PG,44.32%,34.75
4,1805793503,Ichirolls (1/3),0,329.75,G Russell Westbrook C Hassan Whiteside UTIL CJ McCollum PG De'Aaron Fox F Richaun Holmes SG Alec Burks PF Derrick Favors SF Damion Lee,,James Harden,PG,41.54%,54.25
4,1805857090,lopezz,0,329.75,PG Russell Westbrook C Hassan Whiteside SG CJ McCollum G De'Aaron Fox PF Richaun Holmes UTIL Alec Burks F Derrick Favors SF Damion Lee,,CJ McCollum,SG,36.62%,32.5
4,1805888723,captain_roy_01 (2/2),0,329.75,UTIL Russell Westbrook C Hassan Whiteside G CJ McCollum PG De'Aaron Fox PF Richaun Holmes SG Alec Burks F Derrick Favors SF Damion Lee,,Alec Burks,G,36.38%,48.5
4,1805915981,grantkush (6/20),0,329.75,PG Russell Westbrook C Hassan Whiteside SG CJ McCollum G De'Aaron Fox PF Richaun Holmes UTIL Alec Burks F Derrick Favors SF Damion Lee,,Marvin Bagley III,PF,35.05%,19.5
9,1805903391,dtfd923,0,329.5,SF Brandon Ingram C Hassan Whiteside PG D'Angelo Russell G De'Aaron Fox PF Richaun Holmes SG Alec Burks UTIL P.J. Tucker F Damion Lee,,D'Angelo Russell,SG,35.03%,42
10,1805012396,Worldsfinest26,0,329.25,PG James Harden C Hassan Whiteside G De'Aaron Fox SF Carmelo Anthony UTIL Alec Burks F Derrick Favors SG Damion Lee PF Trevor Ariza,,Jeff Teague,G,32.85%,20.25
11,1805716106,codezero (3/6),0,329,G Russell Westbrook UTIL Hassan Whiteside C Clint Capela PG De'Aaron Fox SG Alec Burks PF Derrick Favors F P.J. Tucker SF Damion Lee,,Russell Westbrook,G,29.53%,47.75
12,1805900802,hishboo (102/150),0,328,PF Brandon Ingram UTIL D'Angelo Russell SG CJ McCollum PG De'Aaron Fox SF Carmelo Anthony G Alec Burks F Derrick Favors C Gorgui Dieng,,Derrick Favors,F,28.06%,37.75
