Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1753465604,kdgriffin12 (6/20),0,365,SG Lou Williams UTIL Russell Westbrook C Jonas Valanciunas PF Danuel House Jr. F Montrezl Harrell SF Jabari Parker PG Tyus Jones G Ja Morant,,Paul George,PF,61.82%,33.25
2,1752213802,bkreider (9/88),0,362,UTIL Lou Williams PG Russell Westbrook F JaMychal Green PF Danuel House Jr. SF Jabari Parker C Bam Adebayo G Ja Morant SG Tyler Herro,,Lou Williams,SG,56.34%,49.75
3,1753149091,oxenduck (28/88),0,355.25,PG Lou Williams G James Harden SF JaMychal Green SG Rodney McGruder C Jonas Valanciunas PF Danuel House Jr. F Jabari Parker UTIL Bam Adebayo,,Goran Dragic,G,46.92%,19
4,1753149131,oxenduck (68/88),0,354,SG Lou Williams PG Goran Dragic SF JaMychal Green C Jonas Valanciunas PF Danuel House Jr. F Jabari Parker UTIL Trae Young G Ja Morant,,Bam Adebayo,C,43.73%,45.75
5,1753504647,LolololoLola (1/3),0,351.25,G Lou Williams SF Danuel House Jr. PF Montrezl Harrell SG Kendrick Nunn F Jabari Parker C Bam Adebayo PG Ja Morant UTIL Tyler Herro,,Danuel House Jr.,SF,38.83%,36.5
6,1752109578,moklovin (12/88),0,350.25,G Lou Williams UTIL James Harden SF JaMychal Green C Jonas Valanciunas PF Danuel House Jr. PG Kendrick Nunn F Jabari Parker SG Tyler Herro,,James Harden,SG,38.73%,55.5
6,1752610723,jf1133 (2/2),0,350.25,SG Lou Williams G James Harden SF JaMychal Green C Jonas Valanciunas PF Danuel House Jr. PG Kendrick Nunn F Jabari Parker UTIL Tyler Herro,,Kendrick Nunn,SG,36.96%,20.5
6,1753271836,wildcatfever19 (15/26),0,350.25,PG Lou Williams UTIL James Harden PF JaMychal Green C Jonas Valanciunas SF Danuel House Jr. G Kendrick Nunn F Jabari Parker SG Tyler Herro,,JaMychal Green,SF,35.80%,24
9,1752213833,bkreider (40/88),0,349.75,UTIL Lou Williams PG Goran Dragic PF Danuel House Jr. F Montrezl Harrell SF Jabari Parker C Bam Adebayo G Ja Morant SG Tyler Herro,,Dillon Brooks,SF,29.24%,8.25
9,1753519312,Firefighter5056,0,349.75,SG Lou Williams UTIL Patrick Beverley F JaMychal Green SF Khris Middleton C Jonas Valanciunas PF Jabari Parker PG Trae Young G Tyler Herro,,Tyler Herro,SG,25.13%,39.5
11,1752213817,bkreider (24/88),0,348.75,UTIL Lou Williams G James Harden PG Goran Dragic F JaMychal Green C Jonas Valanciunas PF Danuel House Jr. SF Jabari Parker SG Tyler Herro,,Montrezl Harrell,PF,24.07%,41
11,1753401687,magneto999 (84/88),0,348.75,G Lou Williams UTIL James Harden PG Goran Dragic SF JaMychal Green C Jonas Valanciunas PF Danuel House Jr. F Jabari Parker SG Tyler Herro,,P.J. Tucker,F,23.09%,25.75
13,1752123470,TheOctopus (57/88),0,347.5,UTIL Lou Williams G Patrick Beverley PG James Harden F JaMychal Green C Jonas Valanciunas PF Danuel House Jr. SG Kendrick Nunn SF Jabari Parker,,Russell Westbrook,UTIL,21.01%,48.25
13,1752610722,jf1133 (1/2),0,347.5,SG Lou Williams UTIL Patrick Beverley G James Harden SF JaMychal Green C Jonas Valanciunas PF Danuel House Jr. PG Kendrick Nunn F Jabari Parker,,Jabari Parker,UTIL,19.93%,64.5
15,1752123450,TheOctopus (37/88),0,346,UTIL Lou Williams G Patrick Beverley SG James Harden PG Goran Dragic F JaMychal Green C Jonas Valanciunas PF Danuel House Jr. SF Jabari Parker,,Patrick Beverley,PG,19.72%,36.75
15,1753401618,magneto999 (15/88),0,346,SG Lou Williams PG Patrick Beverley UTIL James Harden G Goran Dragic SF JaMychal Green C Jonas Valanciunas PF Danuel House Jr. F Jabari Parker,,Giannis Antetokounmpo,UTIL,18.33%,56.5
17,1752213870,bkreider (77/88),0,344.75,PF P.J. Tucker UTIL Lou Williams G James Harden F JaMychal Green C Jonas Valanciunas SF Danuel House Jr. PG Ja Morant SG Tyler Herro,,Ja Morant,UTIL,16.70%,53.75
18,1751909844,ChipotleAddict (80/88),0,342.5,F P.J. Tucker SG Lou Williams PG Goran Dragic PF Paul George C Jonas Valanciunas SF Danuel House Jr. UTIL Jabari Parker G Ja Morant,,Ivica Zubac,C,16.59%,16.5
19,1752109593,moklovin (27/88),0,342,PG Lou Williams G Russell Westbrook UTIL Paul George C Jonas Valanciunas SF Moe Harkless PF Danuel House Jr. F Jabari Parker SG Tyler Herro,,Trae Young,PG,15.47%,46.5
19,1752109618,moklovin (52/88),0,342,F P.J. Tucker SG Lou Williams PG Patrick Beverley UTIL James Harden SF JaMychal Green C Jonas Valanciunas PF Danuel House Jr. G Ja Morant,,Jaren Jackson Jr.,PF,15.33%,30
